LANG_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A,Name,Macroarea,Latitude,Longitude,Family,Subfamily,Genus
krm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Karaim,Eurasia,54.6666666667,24.9166666667,Altaic,,Turkic
ksu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kashubian,Eurasia,54.0,18.0,Indo-European,,Slavic
kym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Krymchak,Eurasia,45.0,34.25,Altaic,,Turkic
lat,2.0,1.0,2.0,4.0,1.0,1.0,,1.0,3.0,4.0,8.0,5.0,2.0,,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,,,,,,3.0,,,1.0,,,,,,,,,2.0,,2.0,,,,3.0,,,,2.0,4.0,4.0,20.0,,,5.0,,,,4.0,2.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,1.0,5.0,1.0,1.0,4.0,,,,,,,,,3.0,,3.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,4.0,,2.0,2.0,3.0,,3.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,5.0,4.0,6.0,1.0,1.0,7.0,5.0,1.0,1.0,4.0,,,,2.0,,,4.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,Latvian,Eurasia,57.0,24.0,Indo-European,,Baltic
ldn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ladin,Eurasia,46.5833333333,11.9166666667,Indo-European,,Romance
lge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low German,Eurasia,53.0,10.0,Indo-European,,Germanic
lit,,2.0,,,,,3.0,,,,,,,,,,1.0,,,1.0,1.0,,2.0,2.0,1.0,2.0,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,3.0,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,5.0,,,,4.0,2.0,7.0,4.0,,,,,,,,,,,,,,,1.0,5.0,6.0,4.0,1.0,1.0,5.0,,,,,,,,,2.0,,,,2.0,,,,2.0,6.0,,,5.0,5.0,,,4.0,,2.0,1.0,,,3.0,1.0,2.0,,6.0,4.0,3.0,1.0,3.0,7.0,5.0,,,,,,,2.0,,,,1.0,,,,,,2.0,1.0,1.0,1.0,4.0,,2.0,1.0,1.0,2.0,2.0,,,1.0,,2.0,,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,4.0,4.0,3.0,,,,Lithuanian,Eurasia,55.0,24.0,Indo-European,,Baltic
liv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liv,Eurasia,56.8333333333,24.0,Uralic,Finno-Ugric,Finnic
lno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ladino,Eurasia,40.0,33.0,Indo-European,,Romance
lux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luxemburgeois,Eurasia,49.8333333333,6.16666666667,Indo-European,,Germanic
mcd,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,5.0,8.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,2.0,,1.0,4.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,,1.0,2.0,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,4.0,,3.0,,,,Macedonian,Eurasia,41.6666666667,21.75,Indo-European,,Slavic
mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moldavian,Eurasia,47.0,29.0,Indo-European,,Romance
nor,,1.0,,,,,,,,,,,,,,,2.0,,,,4.0,,,,2.0,,,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,2.0,,2.0,,,,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,1.0,,,4.0,1.0,1.0,4.0,,,,,,,,,,,,,,,1.0,4.0,4.0,4.0,1.0,1.0,3.0,,,,,,,,,2.0,,,,3.0,,,,2.0,,,3.0,3.0,2.0,,,2.0,,,,,,2.0,,1.0,,,2.0,,1.0,1.0,7.0,,,,4.0,,,,2.0,,,,,,,,,,2.0,1.0,4.0,1.0,4.0,2.0,,,,,,,,1.0,,2.0,,1.0,2.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,4.0,4.0,3.0,,,,Norwegian,Eurasia,61.0,8.0,Indo-European,,Germanic
pol,2.0,3.0,2.0,2.0,1.0,,3.0,1.0,,,,,,,,,2.0,,,1.0,1.0,5.0,2.0,2.0,1.0,2.0,,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,3.0,,1.0,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,6.0,8.0,1.0,1.0,1.0,1.0,5.0,,,,,,,,,2.0,,,,2.0,,,,2.0,,,1.0,5.0,5.0,,,4.0,,,,,2.0,2.0,1.0,2.0,2.0,6.0,4.0,6.0,1.0,2.0,7.0,5.0,,,,,,,2.0,,,,1.0,,,,,,2.0,1.0,1.0,1.0,4.0,,2.0,1.0,1.0,,,3.0,5.0,1.0,1.0,2.0,,3.0,2.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,4.0,4.0,3.0,,,,Polish,Eurasia,52.0,20.0,Indo-European,,Slavic
rmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romansch,Eurasia,46.6666666667,9.16666666667,Indo-European,,Romance
rom,,,,,,,,,,,,,,,,,2.0,,,1.0,6.0,5.0,2.0,2.0,1.0,1.0,,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,1.0,3.0,6.0,,1.0,1.0,3.0,,,,,,,,,2.0,,,,3.0,,,,2.0,6.0,,,3.0,2.0,,,3.0,,,,,,3.0,1.0,2.0,,2.0,4.0,3.0,1.0,1.0,6.0,5.0,,,4.0,,,,2.0,,,,1.0,,1.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,,1.0,2.0,,2.0,2.0,2.0,6.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,4.0,4.0,4.0,,,,Romanian,Eurasia,46.0,25.0,Indo-European,,Romance
rus,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,8.0,5.0,2.0,,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,,1.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,2.0,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,1.0,5.0,6.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,6.0,6.0,4.0,5.0,5.0,3.0,,5.0,3.0,2.0,1.0,,3.0,2.0,1.0,2.0,2.0,6.0,4.0,6.0,1.0,3.0,7.0,5.0,1.0,,4.0,2.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,,1.0,2.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,3.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,Russian,Eurasia,56.0,38.0,Indo-European,,Slavic
scr,,2.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,5.0,2.0,2.0,,1.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,1.0,5.0,5.0,5.0,,,,,,,,,,,,2.0,,,,,,,,2.0,6.0,,,5.0,5.0,,,,,,,1.0,,,1.0,,,5.0,,6.0,1.0,,7.0,,,,4.0,,,,,,,,1.0,,,,,,5.0,,1.0,1.0,4.0,,2.0,1.0,1.0,,,3.0,1.0,,1.0,2.0,,1.0,2.0,,2.0,3.0,1.0,1.0,1.0,,,,,,,,,1.0,5.0,,1.0,4.0,,3.0,,,,Serbian-Croatian,Eurasia,44.0,19.0,Indo-European,,Slavic
slo,,2.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,1.0,5.0,5.0,5.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,2.0,2.0,3.0,1.0,,,3.0,5.0,,1.0,2.0,,1.0,2.0,,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,4.0,,3.0,,,,Slovene,Eurasia,46.0,15.0,Indo-European,,Slavic
spa,2.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,8.0,5.0,2.0,,3.0,4.0,2.0,1.0,7.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,1.0,3.0,7.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,5.0,4.0,1.0,2.0,3.0,,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,9.0,,7.0,1.0,,,4.0,2.0,1.0,1.0,1.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,Spanish,Eurasia,40.0,-4.0,Indo-European,,Romance
srb,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,,,,,,,,,5.0,,,,4.0,4.0,2.0,11.0,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,1.0,,,1.0,2.0,,1.0,,,,Sorbian,Eurasia,51.5,14.0,Indo-European,,Slavic
srd,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,2.0,,1.0,2.0,,,,2.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,4.0,4.0,,,,Sardinian,Eurasia,40.0,9.0,Indo-European,,Romance
svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slovincian,Eurasia,54.0,16.0,Indo-European,,Slavic
svk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slovak,Eurasia,49.0,20.0,Indo-European,,Slavic
swe,,1.0,,,,,,,,,,,,,,,2.0,,,3.0,4.0,5.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,1.0,,,4.0,1.0,1.0,4.0,,,,,,,,,,,,,,,1.0,4.0,4.0,5.0,,,,,,,,,,,,2.0,,,,,,,,2.0,6.0,,,3.0,2.0,,,,,2.0,1.0,,,2.0,3.0,1.0,,2.0,,3.0,9.0,1.0,7.0,,,,4.0,,,,,,,5.0,1.0,,2.0,1.0,2.0,1.0,2.0,,4.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,5.0,,1.0,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,4.0,4.0,3.0,,,,Swedish,Eurasia,60.0,15.0,Indo-European,,Germanic
uby,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,2.0,2.0,4.0,20.0,,,,,,,,,,,15.0,6.0,,,4.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,3.0,3.0,,,,,,,,,,,,,,,,6.0,2.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,,2.0,1.0,,,,,,,6.0,,4.0,1.0,1.0,1.0,,,3.0,Ubykh,Eurasia,43.6666666667,39.6666666667,Northwest Caucasian,,Northwest Caucasian
ukr,,1.0,,,,,,,3.0,4.0,8.0,5.0,,,,,2.0,1.0,7.0,,1.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,2.0,3.0,2.0,,,,5.0,5.0,,,,,,,,,,1.0,,,,,,1.0,,7.0,5.0,,,4.0,,,,,,,,,,,,,,2.0,,1.0,1.0,4.0,,,,,,,3.0,5.0,,1.0,2.0,,1.0,2.0,,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,1.0,4.0,4.0,3.0,,,,Ukrainian,Eurasia,49.0,33.0,Indo-European,,Slavic
urm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Urum,Eurasia,47.1166666667,37.55,Altaic,,Turkic
vep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veps,Eurasia,60.0,35.0,Uralic,Finno-Ugric,Finnic
vot,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,2.0,2.0,3.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,Votic,Eurasia,59.5,30.0,Uralic,Finno-Ugric,Finnic
wel,2.0,,2.0,2.0,1.0,,,1.0,,,,,,,,,2.0,,,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,6.0,8.0,1.0,,,,,,,,,,,,,2.0,3.0,,,,,,,2.0,,,,1.0,4.0,,,,,2.0,2.0,,3.0,2.0,,1.0,3.0,1.0,,1.0,9.0,3.0,7.0,,,,,,,,,,,3.0,,,,,,,2.0,,1.0,2.0,4.0,,2.0,3.0,2.0,,,,,,,3.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,3.0,1.0,1.0,1.0,4.0,4.0,4.0,,,,Welsh,Eurasia,52.0,-3.0,Indo-European,,Celtic
ydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yiddish,Eurasia,52.0,23.0,Indo-European,,Germanic
